Table 7 - Staff Costs of each Institution by Activity 2000/01,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Institutions,,,,,,,,,,,,,,,,,,,,£ Thousands,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Academic Staff Costs,,,,,Other Staff Costs,,,,,,,,,,,,,,,
,,,,Academic       depts,Academic              services,Admin &       central        services,Research              grants &                  contracts,Other expenditure,Total ,,Academic       depts,Academic              services,Admin &       central        services,Premises,Residences & catering ops,Research              grants &                  contracts,Other expenditure,Total ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Total UK,,3444373,42615,72165,786423,117461,4463037,,1021554,497242,821986,343589,257735,268437,237531,3448074,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Total England,,2813339,39022,61033,669451,90933,3673778,,824783,398513,675486,274700,210274,192142,182985,2758883,,2,,,,,,
54,,,"King Alfred's College, Winchester",4925,0,48,37,251,5261,,670,816,1696,532,878,3,152,4747,,54
55,,,King's College London,74152,20,416,20149,5426,100163,,21938,8613,10966,4389,2975,29291,12495,90667,,55
56,,,Kingston University,23503,160,862,611,1493,26629,,8583,3099,7288,1230,2063,145,1365,23773,,56
57,,,The University of Lancaster,22556,34,56,5642,6,28294,,7091,2776,5680,1310,3709,651,13,21230,,57
58,,,Leeds Metropolitan University,29480,0,0,635,0,30115,,10414,6771,4684,3880,1036,0,2309,29094,,58
59,,,The University of Leeds,62208,293,927,25079,197,88704,,29939,9673,12226,6279,4627,4434,6700,73878,,59
60,,,The University of Leicester,32810,0,0,13233,473,46516,,11522,3928,6161,3329,3306,2531,809,31586,,60
61,,,The University of Lincoln(#2),12622,149,887,176,2617,16451,,2633,2439,3984,1156,745,83,3843,14883,,61
62,,,Liverpool Hope,6958,0,0,0,715,7673,,927,1074,3433,1383,668,128,125,7738,,62
63,,,Liverpool John Moores University,28040,102,442,1013,1585,31182,,8336,4055,6929,3084,1071,477,2793,26745,,63
64,,,The University of Liverpool,44451,202,879,2517,2072,50121,,15536,4754,7840,5831,3748,18430,6210,62349,,64
65,,,London Business School,11902,0,0,0,0,11902,,3170,1852,3074,1167,217,2188,498,12166,,65
66,,,University of London (Institutes and activities)(#3),5867,2158,69,704,0,8798,,1323,5180,10197,2140,2245,643,8844,30572,,66
67,,,London Guildhall University,16789,524,554,100,292,18259,,2253,3815,4576,1512,0,0,772,12928,,67
68,,,The London Institute,22385,0,0,0,0,22385,,15536,3729,5085,3396,933,345,791,29815,,68
69,,,London School of Economics and Political Science,24207,0,0,5465,0,29672,,3433,4323,7317,1977,2550,1365,1086,22051,,69
70,,,London School of Hygiene & Tropical Medicine,5746,136,5,8908,393,15188,,2203,1359,1512,497,183,2037,182,7973,,70
71,,,Loughborough University,26735,60,259,7465,36,34555,,10013,3552,4944,3508,5896,1832,3169,32914,,71
72,,,University of Luton,17767,431,1402,154,0,19754,,3302,2645,2987,1592,433,36,0,10995,,72
73,,,University of Manchester,73475,727,757,27629,1996,104584,,18378,11908,12750,7814,6029,6631,5739,69249,,73
74,,,The University of Manchester Institute of Science & Technology,21339,0,251,6740,576,28906,,11663,3090,6034,2169,2918,897,2204,28975,,74
75,,,The Manchester Metropolitan University,42059,27,64,1784,0,43934,,10038,5310,7771,5163,3299,1407,2809,35797,,75
76,,,Middlesex University,24447,599,109,2976,345,28476,,10545,10190,5346,3196,1044,2185,1030,33536,,76
77,,,The University of Newcastle-upon-Tyne,47838,736,122,16421,0,65117,,12579,6906,11477,4620,3216,2191,5541,46530,,77
78,,,Newman College,2164,0,0,0,0,2164,,159,169,941,192,376,17,16,1870,,78
79,,,The University of North London,19056,67,162,525,0,19810,,4422,4576,7184,1717,1000,928,0,19827,,79
80,,,University College Northampton,14224,18,0,453,89,14784,,2554,1737,4848,1133,786,0,349,11407,,80
81,,,Northern School of Contemporary Dance,438,0,0,0,0,438,,0,97,207,33,0,0,22,359,,81
82,,,The University of Northumbria at Newcastle,33511,304,1089,1607,0,36511,,10310,5936,8612,3574,2143,708,0,31283,,82
83,,,Norwich School of Art and Design,1503,45,0,0,0,1548,,425,320,779,161,30,0,7,1722,,83
84,,,The Nottingham Trent University,41488,98,0,1571,0,43157,,11331,5233,6135,4728,2080,253,1632,31392,,84
85,,,The University of Nottingham,51697,297,297,18495,1653,72439,,25475,7654,9763,5551,7151,3569,3643,62806,,85
86,,,The Open University,68198,253,4067,2085,0,74603,,19342,12722,47526,2651,0,432,2561,85234,,86
87,,,Oxford Brookes University,25024,199,441,1267,921,27852,,6642,3327,6799,1882,2824,417,1482,23373,,87
88,,,The University of Oxford,63490,0,0,55790,0,119280,,20159,20726,16590,4460,474,9316,2344,74069,,88
89,,,The University of Plymouth,28056,1044,2333,3329,1937,36699,,7957,4143,5434,3881,1498,399,847,24159,,89
90,,,The University of Portsmouth,28476,566,1085,1734,4,31865,,7921,3377,4744,1706,2204,191,7,20150,,90
91,,,Queen Mary and Westfield College,37252,0,0,15623,1869,54744,,9686,3594,7071,3390,2000,2890,1289,29920,,91
92,,,Ravensbourne College of Design and Communication,1432,0,100,0,2,1534,,493,266,580,15,0,0,14,1368,,92
93,,,The University of Reading,33207,2369,4135,8142,2803,50656,,8265,1653,2482,4873,5569,1363,911,25116,,93
94,,,"University of Surrey, Roehampton",10503,0,0,483,0,10986,,1981,2728,4027,417,1933,0,0,11086,,94
95,,,Rose Bruford College,1340,62,705,0,8,2115,,0,0,0,93,0,0,0,93,,95
96,,,Royal Academy of Music,3606,0,0,0,0,3606,,0,140,1109,441,139,0,31,1860,,96
97,,,Royal College of Art,2222,147,0,0,0,2369,,1873,641,1812,230,301,737,214,5808,,97
98,,,Royal College of Music,1106,84,0,0,0,1190,,2255,33,258,1232,634,0,0,4412,,98
99,,,Royal Holloway and Bedford New College,17630,0,79,3595,61,21365,,3341,1777,4361,1037,3199,408,344,14467,,99
100,,,Royal Northern College of Music,2568,0,0,0,0,2568,,289,248,1203,330,267,0,352,2689,,100
101,,,The Royal Veterinary College,3705,0,0,1358,920,5983,,1624,1091,1332,645,192,364,2148,7396,,101
102,,,St George's Hospital Medical School,16003,0,0,7697,0,23700,,5113,2005,2841,499,33,2393,0,12884,,102
103,,,College of St Mark and St John,4112,55,366,98,6,4637,,749,366,849,581,357,6,194,3102,,103
104,,,St Martin's College,11344,0,0,3,505,11852,,1358,1037,2926,885,1747,61,840,8854,,104
105,,,St Mary's College,4683,0,84,0,0,4767,,561,644,1322,968,817,34,0,4346,,105
106,,,The University of Salford,31936,264,724,1236,2580,36740,,8766,3074,6313,4212,2046,874,3835,29120,,106
107,,,The School of Oriental and African Studies,11664,151,106,815,28,12764,,1576,2408,2789,320,41,401,24,7559,,107
108,,,The School of Pharmacy,2280,0,0,903,17,3200,,994,245,649,341,77,0,18,2324,,108
109,,,Sheffield Hallam University,34286,1102,1266,2479,2539,41672,,9708,5353,8903,3003,2524,726,1058,31275,,109
110,,,The University of Sheffield,62122,126,894,22437,3179,88758,,14099,7725,11129,4799,4906,4645,1185,48488,,110
111,,,South Bank University,32145,1947,3911,1907,122,40032,,6327,3052,6001,1266,849,199,0,17694,,111
112,,,Southampton Institute,15951,0,283,70,0,16304,,4982,2325,5776,1240,234,89,0,14646,,112
113,,,The University of Southampton,49658,196,39,20492,1269,71654,,14353,5324,8427,4061,3889,6406,3194,45654,,113
114,,,Staffordshire University,19496,409,292,672,878,21747,,7687,3564,5421,1635,1233,390,466,20396,,114
115,,,The University of Sunderland,18362,0,0,660,670,19692,,5232,2432,6105,2135,1486,120,2244,19754,,115
116,,,"The Surrey Institute of Art and Design, University College",4275,0,0,0,0,4275,,1134,1403,974,581,44,0,0,4136,,116
117,,,The University of Surrey,24159,0,0,6338,0,30497,,12298,3223,6654,2754,2676,1003,6037,34645,,117
118,,,The University of Sussex,20804,0,0,6934,180,27918,,6176,3377,5966,2649,2065,691,1503,22427,,118
119,,,The University of Teesside,17916,371,290,641,642,19860,,4007,1942,5421,1766,549,43,1650,15378,,119
120,,,Thames Valley University,15247,180,506,227,334,16494,,7457,2249,6315,957,34,0,1163,18175,,120
121,,,Trinity And All Saints College,3518,152,398,0,17,4085,,438,299,1030,393,689,0,6,2855,,121
122,,,Trinity College of Music,1604,0,0,0,0,1604,,425,149,907,238,0,0,157,1876,,122
123,,,University College London,96770,945,3047,65491,9063,175316,,27981,10567,18834,7339,2957,12263,7556,87497,,123
124,,,The University of Warwick,37558,137,0,9861,2197,49753,,11407,4784,6349,5576,6640,1393,6979,43128,,124
125,,,"University of the West of England, Bristol",36081,1023,1561,1505,546,40716,,9728,4006,5728,3313,1452,207,516,24950,,125
126,,,The University of Westminster,29401,0,156,1713,117,31387,,7911,2442,6443,1657,318,0,0,18771,,126
127,,,Wimbledon School of Art,1826,0,0,24,0,1850,,346,204,793,152,10,0,0,1505,,127
128,,,The University of Wolverhampton,25531,899,1162,450,852,28894,,5263,2907,8456,4002,1571,387,1252,23838,,128
129,,,University College Worcester,7502,48,740,152,0,8442,,923,932,1562,229,315,144,0,4105,,129
130,,,Writtle College,3928,0,666,30,26,4650,,693,383,1091,201,619,2,551,3540,,130
131,,,York St John College(#2),6538,0,0,76,0,6614,,638,529,2425,2268,553,0,0,6413,,131
132,,,The University of York,24922,1925,2306,12321,494,41968,,5045,1242,1833,2590,3981,1456,1946,18093,,132
,,,,,,,,,,,,,,,,,,,,
133,,Total Wales,,173476,1155,2939,28805,6844,213219,,41118,23754,40388,14873,14285,6785,16128,157331,,133
134,,,"University of Wales, Aberystwyth",13898,0,0,2439,864,17201,,4445,2417,4034,1788,2685,1282,2224,18875,,134
135,,,"University of Wales, Bangor",18161,0,0,4048,0,22209,,4890,2902,4184,1963,1802,638,3632,20011,,135
136,,,Cardiff University,39276,103,0,11439,0,50818,,12646,5866,7184,3797,2826,992,861,34172,,136
137,,,"University of Wales Institute, Cardiff",12122,124,315,85,916,13562,,1271,2993,3705,452,1257,801,2159,12638,,137
138,,,University of Glamorgan,18818,144,933,1340,1395,22630,,3725,2931,4083,983,1343,577,520,14162,,138
139,,,"The University of Wales, Lampeter",3329,0,0,144,44,3517,,471,501,700,282,384,17,182,2537,,139
140,,,University of Wales College of Medicine,21206,90,259,5150,1872,28577,,4367,1186,2258,93,139,1677,1639,11359,,140
141,,,"University of Wales College, Newport",6876,0,0,18,0,6894,,1344,976,3291,1374,487,3,463,7938,,141
142,,,The North-East Wales Institute of Higher Education,5815,62,535,165,132,6709,,875,817,1287,597,182,129,875,4762,,142
143,,,"The University of Wales, Registry",392,0,0,86,0,478,,148,0,1667,8,355,0,210,2388,,143
144,,,Swansea Institute of Higher Education,5878,144,251,0,0,6273,,749,615,1619,657,201,30,198,4069,,144
145,,,"University of Wales, Swansea",23029,450,501,3891,1515,29386,,5703,2055,4692,2411,2105,639,3121,20726,,145
146,,,"Trinity College, Carmarthen",2702,38,145,0,106,2991,,272,333,781,250,519,0,44,2199,,146
