"Table 18a - Full-time Academic Staff by Cost Centre, Principal Source of Salary, Grade(#9) and Gender 2000/01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Wholly Institutionally Financed,,,,,,,,,,,,,,,,,All Other Sources of Finance,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Professors,,,Senior Lecturers & Researchers,,,Lecturers,,,Researchers,,,Other Grades,,,,,Professors,,,Senior Lecturers & Researchers,,,Lecturers,,,Researchers,,,Other Grades,,,,,
,,,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Total,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Total ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,Other academic services,5,15,,15,25,,35,30,,25,15,,20,20,,210,,0,0,,0,0,,10,15,,20,10,,0,10,,65,,45
,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,, ,,
46,,Administration & central services ,,0,35, ,25,30, ,40,30, ,45,50, ,20,50, ,325,,0,0, ,0,0, ,5,0, ,10,15, ,0,0, ,35,,46
47,,,Central administration & services,0,30,,20,25,,20,30,,45,50,,15,45,,280,,0,0,,0,0,,5,0,,10,10,,0,0,,30,,47
48,,,Staff & student facilities,0,0,,0,5,,20,5,,0,0,,5,10,,45,,0,0,,0,0,,0,0,,0,0,,0,0,,5,,48
,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,, ,,
49,,Premises,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,49
,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,, ,,
50,,Residences & catering operations,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,Total academic staff in departmental cost centres,,1415,10065, ,4615,15135, ,13895,23725, ,2565,4105, ,1920,2995,0,80435,,160,895, ,750,1605, ,2000,2330, ,10615,15160, ,1050,1405, ,35970,,51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"In this table 0, 1, 2 are rounded to 0. All other numbers are rounded up or down to the nearest 5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# see relevant footnote in Notes on Tables.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copyright © Higher Education Statistics Agency Ltd 2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
