grid,grouping,state,uni_name,year,Women Above Senior Lecturer,Women Senior lecturer (Level C),Women Lecturer (Level B),Women Below lecturer (Level A),Total women academic,Women non-academic,Total women staff,% Women above senior lecturer,% Women Senior lecturer (Level C),% Women Lecturer (Level B),% Women below lecturer (Level A),% women academics,% women non-academic,Total % women staff,All staff above Senior Lecturer,All staff Senior lecturer (Level C),All staff Lecturer (Level B),All staff Below lecturer (Level A),Total All staff academic,All staff Non-academic,Total staff,Women % all Above Senior Lecturer,Women % all Senior lecturer (Level C),Women % all Lecturer (Level B),Women % all Below lecturer (Level A),Women % all staff tacademic,Women % all Non academic,% Men,
grid.1029.a,,NSW,Western Sydney University,2001,44,78,233,78,433,758,"1,191",30.56,32.64,49.79,55.71,43.69,67.92,56.53,144,239,468,140,991,"1,116","2,107",2.09,3.7,11.06,3.7,20.55,35.98,43.47,
grid.1029.a,,NSW,Western Sydney University,2002,56,108,210,69,443,754,"1,197",34.15,39.13,48.17,57.02,44.43,67.62,56.68,164,276,436,121,997,"1,115","2,112",2.65,5.11,9.94,3.27,20.97,35.7,43.32,
grid.1029.a,,NSW,Western Sydney University,2003,46,101,195,74,416,771,"1,187",31.51,39.76,49.24,52.48,44.4,66.12,56.44,146,254,396,141,937,"1,166","2,103",2.19,4.8,9.27,3.52,19.78,36.66,43.56,
grid.1029.a,,NSW,Western Sydney University,2004,44,103,198,86,431,823,"1,254",28.39,38.58,52.52,53.42,44.9,66.42,57.03,155,267,377,161,960,"1,239","2,199",2,4.68,9,3.91,19.59,37.43,42.97,
grid.1029.a,,NSW,Western Sydney University,2005,55,93,177,87,412,794,"1,206",34.16,36.76,50.72,54.04,44.59,65.84,56.62,161,253,349,161,924,"1,206","2,130",2.58,4.37,8.31,4.08,19.34,37.28,43.38,
grid.1029.a,,NSW,Western Sydney University,2006,59,86,177,80,402,768,"1,170",35.54,36.29,51.45,54.79,45.02,65.98,56.88,166,237,344,146,893,"1,164","2,057",2.87,4.18,8.6,3.89,19.54,37.34,43.12,
grid.1029.a,,NSW,Western Sydney University,2007,86,92,169,68,415,738,"1,153",38.22,41.07,50.9,56.2,46.01,66.31,57.22,225,224,332,121,902,"1,113","2,015",4.27,4.57,8.39,3.37,20.6,36.63,42.78,
grid.1029.a,,NSW,Western Sydney University,2008,95,83,171,71,420,790,"1,210",43.78,40.89,53.27,61.21,49.01,66,58.91,217,203,321,116,857,"1,197","2,054",4.63,4.04,8.33,3.46,20.46,38.46,41.09,
grid.1029.a,,NSW,Western Sydney University,2009,82,93,159,59,393,812,"1,205",40.39,44.29,55.4,58.42,49.06,65.91,59.27,203,210,287,101,801,"1,232","2,033",4.03,4.57,7.82,2.9,19.32,39.94,40.73,
grid.1029.a,,NSW,Western Sydney University,2010,85,112,179,63,439,850,"1,289",38.99,47.66,57.37,61.17,50.58,66.72,60.18,218,235,312,103,868,"1,274","2,142",3.97,5.23,8.36,2.94,20.5,39.68,39.82,
grid.1029.a,,NSW,Western Sydney University,2011,77,114,206,99,496,920,"1,416",35.16,45.42,56.75,64.71,50.3,67.8,60.44,219,251,363,153,986,"1,357","2,343",3.29,4.87,8.79,4.23,21.18,39.27,39.56,
grid.1029.a,,NSW,Western Sydney University,2012,114,126,199,82,521,925,"1,446",40.14,44.06,55.12,56.55,48.42,67.42,59.07,284,286,361,145,1076,"1,372","2,448",4.66,5.15,8.13,3.35,21.29,37.79,40.93,
grid.1029.a,,NSW,Western Sydney University,2013,120,127,198,78,523,"1,014","1,537",40.82,43.94,57.73,59.54,49.48,67.6,60.11,294,289,343,131,1057,"1,500","2,557",4.69,4.97,7.74,3.05,20.45,39.66,39.89,
grid.1029.a,,NSW,Western Sydney University,2014,135,109,212,109,565,"1,141","1,706",42.86,41.6,56.23,57.07,49.34,66.96,59.88,315,262,377,191,1145,"1,704","2,849",4.74,3.83,7.44,3.83,19.84,40.05,40.12,
grid.1029.a,,NSW,Western Sydney University,2015,137,132,219,77,565,"1,142","1,707",41.52,42.44,57.94,57.04,48.96,66.98,59.71,330,311,378,135,1154,"1,705","2,859",4.79,4.62,7.66,2.69,19.76,39.94,40.29,
grid.1029.a,,NSW,Western Sydney University,2016,153,146,216,82,597,"1,166","1,763",43.47,45.63,58.22,52.23,49.75,66.9,59.9,352,320,371,157,1200,"1,743","2,943",5.2,4.96,7.34,2.79,20.29,39.62,40.1,
grid.1029.a,,NSW,Western Sydney University,2017,150,142,178,82,552,"1,044","1,596",43.1,47.18,56.33,54.3,49.46,65.95,59.13,348,301,316,151,1116,"1,583","2,699",5.56,5.26,6.6,3.04,20.46,38.68,40.87,
grid.1029.a,,NSW,Western Sydney University,2018,159,161,185,82,587,"1,075","1,662",44.79,49.24,58.73,54.67,51.18,66.85,60.33,355,327,315,150,1147,"1,608","2,755",5.77,5.84,6.72,2.98,21.31,39.02,39.67,
