,,,,,,,,,,,,,,,,,,,,,,
"Table 19b - Summaries of Academic Staff in all UK Institutions by Age, Gender and Mode of Employment 2001/02",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Full-time Staff,,,,,,,Part-time Staff,,,,,,,,,
,,,,Age,,,,Gender,,,,Age,,,,Gender,,,,,,
,,,,Average                age(#14),% < 35 years,% >= 55 years,,Female,Male,Total ,,Average                age(#14),% < 35 years,% >= 55 years,,Female,Male,Total ,,Total,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
73,,,Loughborough University,40,34%,12%,,225,790,1015,,44,30%,24%,,65,70,135,,1150,,73
74,,,University of Luton,43,22%,11%,,230,305,535,,46,..,..,,25,10,35,,570,,74
75,,,University of Manchester,39,41%,12%,,1055,1910,2965,,44,23%,18%,,220,155,375,,3340,,75
76,,,The University of Manchester Institute of Science & Technology,40,37%,12%,,190,725,915,,46,25%,40%,,20,45,65,,980,,76
77,,,The Manchester Metropolitan University,46,12%,19%,,455,745,1200,,45,22%,24%,,145,100,245,,1445,,77
78,,,Middlesex University,45,15%,19%,,305,410,715,,46,15%,28%,,155,165,320,,1035,,78
79,,,The University of Newcastle-upon-Tyne,39,40%,10%,,615,1395,2010,,41,29%,15%,,170,105,275,,2285,,79
80,,,Newman College,44,22%,12%,,35,25,60,,45,..,..,,10,5,15,,75,,80
81,,,The University of North London,46,13%,18%,,205,290,495,,43,23%,19%,,135,125,255,,750,,81
82,,,University College Northampton,45,14%,16%,,150,255,405,,44,18%,21%,,45,25,70,,475,,82
83,,,Northern School of Contemporary Dance,41,..,..,,5,5,10,,..,..,..,,0,5,5,,15,,83
84,,,The University of Northumbria at Newcastle,44,17%,12%,,410,620,1030,,42,24%,16%,,170,100,270,,1300,,84
85,,,Norwich School of Art and Design,48,..,..,,5,20,25,,45,..,..,,15,15,30,,50,,85
86,,,The Nottingham Trent University,45,18%,16%,,320,665,990,,45,23%,23%,,180,130,310,,1300,,86
87,,,The University of Nottingham,39,41%,8%,,780,1615,2390,,42,27%,13%,,145,70,215,,2605,,87
88,,,The Open University,46,17%,23%,,500,680,1175,,47,9%,24%,,90,45,135,,1310,,88
89,,,Oxford Brookes University,46,12%,14%,,195,270,465,,44,22%,16%,,335,230,565,,1030,,89
90,,,The University of Oxford,39,44%,15%,,1275,2645,3920,,41,35%,14%,,230,115,350,,4270,,90
91,,,The University of Plymouth,43,21%,14%,,325,650,970,,44,24%,19%,,210,215,420,,1395,,91
92,,,The University of Portsmouth,44,21%,17%,,240,535,775,,48,13%,33%,,130,140,265,,1040,,92
93,,,Queen Mary and Westfield College,39,40%,11%,,465,860,1325,,46,26%,28%,,90,115,205,,1530,,93
94,,,Ravensbourne College of Design and Communication,47,..,..,,5,10,15,,39,46%,8%,,20,30,50,,65,,94
95,,,The University of Reading,42,34%,18%,,355,775,1130,,45,20%,26%,,70,60,130,,1260,,95
