Table 19a - Summaries of Full-time Academic Staff in all UK Institutions by ,,,,,,,,,,,,,,,,,,,
"Clinical Status, Primary Employment Function and Principal Source of Salary 2001/02",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,Teaching/Teaching                    & Research,,,Research only,,,Non-clinical,,,Clinical,,,Total,,,
,,,,,,,,,,,,,,,,,,,
,,,,Wholly institut-          ionally financed,All other sources of finance,,Wholly institut-        ionally financed,All other sources of finance,,Wholly institut-          ionally financed,All other sources of finance,,Wholly institut-          ionally financed,All other sources of finance,,Wholly institut-          ionally financed,All other sources of finance,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,,Total UK,,72950,7890, ,7460,31600,,78180,35515,0,2230,3975,,80410,39490,,1
86,,,The Nottingham Trent University,885,25,,25,50,,910,75,,0,0,,910,75,,86
87,,,The University of Nottingham,1055,350,,135,850,,1135,1055,,55,145,,1190,1200,,87
88,,,The Open University,1100,75,,0,0,,1100,75,,0,0,,1100,75,,88
89,,,Oxford Brookes University,435,0,,25,0,,460,0,,0,0,,460,0,,89
90,,,The University of Oxford,1365,40,,395,2125,,1630,2000,,135,160,,1760,2160,,90
91,,,The University of Plymouth,800,135,,5,30,,790,160,,15,5,,805,165,,91
92,,,The University of Portsmouth,615,55,,45,60,,660,115,,0,0,,660,115,,92
93,,,Queen Mary and Westfield College,550,160,,45,565,,520,585,,75,140,,600,730,,93
94,,,Ravensbourne College of Design and Communication,15,0,,0,0,,15,0,,0,0,,15,0,,94
95,,,The University of Reading,700,20,,100,310,,800,330,,0,0,,800,330,,95
96,,,"University of Surrey, Roehampton",230,0,,5,5,,235,5,,0,0,,235,5,,96
97,,,Rose Bruford College,25,0,,0,0,,25,0,,0,0,,25,0,,97
98,,,Royal Academy of Music,10,0,,0,0,,10,0,,0,0,,10,0,,98
99,,,Royal Agricultural College(#1),35,0,,0,0,,35,0,,0,0,,35,0,,99
100,,,Royal College of Art,25,5,,5,10,,25,10,,0,0,,25,10,,100
101,,,Royal College of Music,15,0,,0,5,,15,5,,0,0,,15,5,,101
102,,,Royal Holloway and Bedford New College,395,0,,60,105,,455,105,,0,0,,455,105,,102
103,,,Royal Northern College of Music,30,0,,0,0,,30,0,,0,0,,30,0,,103
104,,,The Royal Veterinary College,95,20,,15,40,,110,55,,0,0,,110,55,,104
105,,,St George's Hospital Medical School,205,170,,25,235,,185,270,,45,135,,230,405,,105
106,,,College of St Mark and St John,95,10,,0,0,,100,10,,0,0,,100,10,,106
107,,,St Martin's College,320,0,,10,0,,335,0,,0,0,,335,0,,107
108,,,St Mary's College,105,0,,0,0,,105,0,,0,0,,105,0,,108
109,,,The University of Salford,840,55,,25,35,,870,90,,0,0,,870,90,,109
110,,,The School of Oriental and African Studies,240,10,,15,20,,255,25,,0,0,,255,25,,110
111,,,The School of Pharmacy,40,0,,5,50,,50,50,,0,0,,50,50,,111
112,,,Sheffield Hallam University,820,110,,80,120,,900,230,,0,0,,900,230,,112
113,,,The University of Sheffield,1185,150,,80,835,,1175,880,,90,105,,1270,985,,113
114,,,Southampton Institute,385,0,,0,0,,385,0,,0,0,,385,0,,114
115,,,The University of Southampton,950,90,,130,910,,1055,905,,25,95,,1080,1000,,115
116,,,Staffordshire University,520,45,,20,20,,540,65,,0,0,,540,65,,116
117,,,The University of Sunderland,480,5,,45,25,,520,30,,0,0,,520,30,,117
118,,,"The Surrey Institute of Art and Design, University College",80,0,,0,0,,80,0,,0,0,,80,0,,118
119,,,The University of Surrey,520,10,,95,285,,590,295,,20,0,,615,295,,119
120,,,The University of Sussex,485,0,,195,160,,680,160,,0,0,,680,160,,120
121,,,The University of Teesside,370,130,,5,30,,375,160,,0,0,,375,160,,121
122,,,Thames Valley University,230,185,,0,0,,230,185,,0,0,,230,185,,122
123,,,Trinity And All Saints College,100,0,,0,0,,100,0,,0,0,,100,0,,123
124,,,Trinity College of Music,0,0,,0,0,,0,0,,0,0,,0,0,,124
125,,,University College London,1380,325,,235,2070,,1380,1950,,235,445,,1615,2395,,125
126,,,The University of Warwick,810,40,,115,350,,920,385,,5,5,,925,390,,126
127,,,"University of the West of England, Bristol",840,10,,60,60,,895,70,,0,0,,895,70,,127
128,,,The University of Westminster,560,10,,20,50,,580,60,,0,0,,580,60,,128
129,,,Wimbledon School of Art,20,0,,0,0,,25,0,,0,0,,25,0,,129
130,,,The University of Wolverhampton,780,15,,45,5,,825,20,,0,0,,825,20,,130
131,,,University College Worcester,190,0,,5,0,,195,0,,0,0,,195,0,,131
132,,,Writtle College,150,0,,0,0,,150,0,,0,0,,150,0,,132
133,,,York St John College,140,5,,0,0,,140,5,,0,0,,140,5,,133
134,,,The University of York,455,40,,90,400,,540,440,,0,0,,540,440,,134
,,,,,,,,,,,,,,,,,,,
135,,Total Wales,,3920,235,0,415,1195,,4230,1335,0,105,95,,4340,1430,,135
136,,,"University of Wales, Aberystwyth",355,10,,20,135,,375,145,,0,0,,375,145,,136
137,,,"University of Wales, Bangor",395,5,,50,180,,440,190,,5,0,,445,190,,137
138,,,Cardiff University,910,50,,165,515,,1075,565,,0,0,,1075,565,,138
139,,,"University of Wales Institute, Cardiff",305,5,,20,0,,325,5,,0,0,,325,5,,139
140,,,University of Glamorgan,525,0,,45,0,,570,0,,0,0,,570,0,,140
141,,,"The University of Wales, Lampeter",80,0,,5,0,,85,0,,0,0,,85,0,,141
142,,,University of Wales College of Medicine,275,120,,80,195,,255,220,,100,95,,355,315,,142
143,,,"University of Wales College, Newport",140,0,,5,5,,145,5,,0,0,,145,5,,143
144,,,The North-East Wales Institute of Higher Education,140,15,,5,5,,150,20,,0,0,,150,20,,144
145,,,"University of Wales, Registry",0,0,,15,10,,15,10,,0,0,,15,10,,145
146,,,Royal Welsh College of Music and Drama(#2),35,0,,0,0,,35,0,,0,0,,35,0,,146
147,,,Swansea Institute of Higher Education,150,0,,0,0,,150,0,,0,0,,150,0,,147
148,,,"University of Wales, Swansea",525,30,,10,150,,535,180,,0,0,,535,180,,148
149,,,"Trinity College, Carmarthen",80,0,,0,0,,80,0,,0,0,,80,0,,149
,,,,,,,,,,,,,,,,,,,
150,,Total Scotland,,8235,990,0,870,4240,,8770,4840,0,330,390,,9100,5230,,150
151,,,The University of Aberdeen,640,80,,100,465,,685,495,,55,50,,740,545,,151
152,,,University of Abertay Dundee,225,5,,5,15,,230,20,,0,0,,230,20,,152
153,,,Bell College(#1),120,55,,0,0,,120,55,,0,0,,120,55,,153
154,,,The University of Dundee,590,160,,50,510,,560,600,,75,75,,640,670,,154
155,,,Edinburgh College of Art,65,5,,5,10,,70,10,,0,0,,70,10,,155
156,,,The University of Edinburgh,1180,185,,115,1240,,1230,1225,,70,195,,1300,1420,,156
157,,,Glasgow Caledonian University,555,80,,30,60,,590,140,,0,0,,590,140,,157
158,,,Glasgow School of Art,65,0,,0,0,,70,0,,0,0,,70,0,,158
159,,,The University of Glasgow,1165,160,,145,895,,1195,985,,115,70,,1310,1060,,159
160,,,Heriot-Watt University,395,40,,30,215,,425,255,,0,0,,425,255,,160
161,,,Napier University,525,5,,50,35,,575,45,,0,0,,575,45,,161
162,,,Northern College of Education(#5),~,~,,~,~,,~,~,,~,~,,~,~,~,162
163,,,The University of Paisley,410,10,,15,25,,425,35,,0,0,,425,35,,163
164,,,"Queen Margaret University College, Edinburgh",160,5,,0,0,,145,5,,15,0,,160,5,,164
165,,,The Robert Gordon University,375,70,,30,30,,405,105,,0,0,,405,105,,165
166,,,The Royal Scottish Academy of Music and Drama,30,0,,0,0,,30,0,,0,0,,30,0,,166
167,,,The University of St Andrews,440,20,,20,245,,455,260,,0,0,,455,260,,167
168,,,Scottish Agricultural College,140,0,,105,0,,245,0,,0,0,,245,0,,168
169,,,The University of Stirling,340,70,,75,75,,415,145,,0,0,,415,145,,169
170,,,The University of Strathclyde,815,45,,90,405,,910,455,,0,0,,910,455,,170
171,,,UHI Millennium Institute(#1)(#6),~,~,,~,~,,~,~,,~,~,,~,~,,171
,,,,,,,,,,,,,,,,,,,
172,,Total Great Britain,,70960,7730,0,7280,30985,,76020,34855,0,2220,3860,,78235,38715,,172
,,,,,,,,,,,,,,,,,,,
173,,Total Northern Ireland,,1995,160,0,180,620,,2160,660,0,15,115,,2175,780,,173
174,,,The Queen's University of Belfast,885,100,,90,440,,960,425,,15,115,,975,540,,174
175,,,St Mary's University College,65,0,,0,0,,65,0,,0,0,,65,0,,175
176,,,Stranmillis University College,60,0,,0,0,,65,0,,0,0,,65,0,,176
177,,,University of Ulster,985,60,,90,180,,1070,235,,0,0,,1070,235,,177
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"In this table 0, 1, 2 are rounded to 0. All other numbers are rounded up or down to the nearest 5.",,,,,,,,,,,,,,,,,,,
# see relevant footnote in Notes on Tables.,,,,,,,,,,,,,,,,,,,
~ no data submitted,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Copyright © Higher Education Statistics Agency Ltd 2003,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
