,,,,,,,,,,,,,
Table 12 - Summaries of Academic Staff Numbers for all UK Institutions by Principal Source of Salary and Mode of Employment 2001/02,,,,,,,,,,,,,
,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Full-time,,,,       Part-time,,,,,
,,,, Wholly institutio-    nally financed,All other sources of finance,Total ,, Wholly institutio-    nally financed,All other sources of finance,Total ,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,,Total UK,,80410,39490,119900,,17810,5440,23250,,1,
,,,,,,,,,,,,,
163,,,The University of Paisley,425,35,460,,30,0,30,,163
164,,,"Queen Margaret University College, Edinburgh",160,5,165,,40,0,40,,164
165,,,The Robert Gordon University,405,105,505,,75,15,90,,165
166,,,The Royal Scottish Academy of Music and Drama,30,0,30,,45,0,45,,166
167,,,The University of St Andrews,455,260,720,,280,30,310,,167
168,,,Scottish Agricultural College,245,0,245,,5,0,5,,168
169,,,The University of Stirling,415,145,560,,55,35,85,,169
170,,,The University of Strathclyde,910,455,1360,,75,55,130,,170
171,,,UHI Millennium Institute(#1)(#6),~,~,~,,~,~,~,,171
,,,,,,,,,,,,
172,,Total Great Britain,,78235,38715,116950,,17665,5375,23040,,172
,,,,,,,,,,,,
173,,Total Northern Ireland,,2175,780,2955,,150,60,210,,173
174,,,The Queen's University of Belfast,975,540,1515,,75,40,115,,174
175,,,St Mary's University College,65,0,65,,5,0,5,,175
176,,,Stranmillis University College,65,0,65,,0,0,0,,176
177,,,University of Ulster,1070,235,1310,,70,25,95,,177
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"In this table 0, 1, 2 are rounded to 0. All other numbers are rounded up or down to the nearest 5.",,,,,,,,,,,,
# see relevant footnote in Notes on Tables.,,,,,,,,,,,,
~ no data submitted,,,,,,,,,,,,

Copyright © Higher Education Statistics Agency Ltd 2003,,,,,,,,,,,,
