132,,,Writtle College,5389,506,1862,1297,1840,74,4572,15540,,132
133,,,York St John College,8692,1503,5166,3520,1848,14,0,20743,,133
134,,,The University of York,40464,6443,11087,9542,12589,23017,9535,112677,,134
,,,,,,,,,,,,,
135,,Total Wales,,280687,51584,84491,73188,46408,82539,67090,685987,,135
136,,,"University of Wales, Aberystwyth",22400,4251,7952,7488,7208,8792,8899,66990,,136
137,,,"University of Wales, Bangor",31526,5865,8039,7455,5803,8107,8075,74870,,137
138,,,Cardiff University,64678,12616,13232,23189,11109,34000,6120,164944,,138
139,,,"University of Wales Institute, Cardiff",23049,5788,8072,4318,3315,841,827,46210,,139
140,,,University of Glamorgan,29215,6429,10174,6997,4140,7696,4923,69574,,140
141,,,"The University of Wales, Lampeter",4601,897,1441,996,1335,241,593,10104,,141
142,,,University of Wales College of Medicine,32672,3531,4855,2976,394,13214,20492,78134,,142
143,,,"University of Wales College, Newport",10925,1954,6623,4429,1319,94,441,25785,,143
144,,,The North-East Wales Institute of Higher Education,7992,1107,3597,3029,639,466,2569,19399,,144
145,,,"University of Wales, Registry",511,0,2750,93,815,193,2221,6583,,145
146,,,Royal Welsh College of Music and Drama(#2),3287,383,1811,977,223,0,8,6689,,146
147,,,Swansea Institute of Higher Education,8478,1502,3646,2634,501,19,0,16780,,147
148,,,"University of Wales, Swansea",37808,6365,10226,7908,8006,8876,11468,90657,,148
149,,,"Trinity College, Carmarthen",3545,896,2073,699,1601,0,454,9268,,149
,,,,,,,,,,,,,
150,,Total Scotland,,666488,121182,191168,172357,89499,282777,137098,1660569,,150
151,,,The University of Aberdeen,46528,9022,12599,11413,8613,30542,6215,124932,,151
152,,,University of Abertay Dundee,10970,5870,3833,3082,1137,1391,3390,29673,,152
153,,,Bell College(#1),7023,939,4055,2141,504,0,1442,16104,,153
154,,,The University of Dundee,53353,8242,12790,11800,4951,34768,4591,130495,,154
155,,,Edinburgh College of Art,6407,1100,2370,1599,246,753,542,13017,,155
156,,,The University of Edinburgh,116340,19425,21538,42625,18144,78021,17868,313961,,156
157,,,Glasgow Caledonian University,29391,6608,9136,11112,1677,4018,12098,74040,,157
158,,,Glasgow School of Art,6719,869,1630,2516,240,753,81,12808,,158
159,,,The University of Glasgow,103021,15096,26955,28730,11037,66541,17076,268456,,159
160,,,Heriot-Watt University,32948,4413,15566,6002,8938,11598,7118,86583,,160
161,,,Napier University,29993,7364,11028,5413,3978,1527,1603,60906,,161
162,,,Northern College of Education(#15),2357,462,897,729,284,5,151,4885,,162
163,,,The University of Paisley,22225,6973,7775,4319,1758,2095,4219,49364,,163
164,,,"Queen Margaret University College, Edinburgh",9823,1810,4368,2697,1461,1276,584,22019,,164
165,,,The Robert Gordon University,26698,5524,6893,5990,2917,2018,24675,74715,,165
166,,,The Royal Scottish Academy of Music and Drama,3932,1019,1406,1324,183,89,182,8135,,166
167,,,The University of St Andrews,28007,4840,9559,5476,7806,15020,1209,71917,,167
168,,,Scottish Agricultural College,16680,3439,8581,4052,249,2417,11297,46715,,168
169,,,The University of Stirling,27867,4593,7115,5575,7533,5999,5624,64306,,169
170,,,The University of Strathclyde,73726,9856,16984,15580,7843,19533,12170,155692,,170
171,,,UHI Millennium Institute(#1)(#18),12480,3718,6090,182,0,4413,4963,31846,,171
,,,,,,,,,,,,,
172,,Total Great Britain,,5844218,1066016,1807581,1480523,896039,2080308,954256,14128941,,172
,,,,,,,,,,,,,
173,,Total Northern Ireland,,132261,29768,32758,38978,9889,34413,19529,297596,,173
174,,,The Queen's University of Belfast,71130,9599,18515,19295,4338,24466,11451,158794,,174
175,,,St Mary's University College,2684,741,1023,822,51,66,0,5387,,175
176,,,Stranmillis University College,2769,621,1406,657,1167,90,155,6865,,176
177,,,University of Ulster,55678,18807,11814,18204,4333,9791,7923,126550,,177
,,,,,,,,,,,,,
,,,,,,,,,,,,,
# see relevant footnote in Notes on Tables.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Copyright © Higher Education Statistics Agency Ltd 2003,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
