Table 7 - Staff Costs of each Institution by Activity 2001/02,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
UK Institutions,,,,,,,,,,,,,,,,,,,,£ Thousands,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Academic Staff Costs,,,,,Other Staff Costs,,,,,,,,,,,
,,,,Academic       depts,Academic              services,Admin &       central        services,Research              grants &                  contracts,Other expenditure,Total ,,Academic       depts,Academic              services,Admin &       central        services,Premises,Residences & catering ops,Research              grants &                  contracts,Other expenditure,Total ,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1,,Total UK,,3599386,43558,84759,898862,110464,4737029,,1085848,544908,875752,359110,263819,250706,244990,3625133,,1,,
,,,,,,,,,,,,,,,,,,,,,,
2,,Total England,,2932753,38703,74251,737097,87233,3870037,,886627,439834,717341,287213,214909,204019,189572,2939515,,2,,
58,,,The University of Lancaster,23548,13,36,6647,0,30244,,6841,3116,6405,1548,3539,773,137,22359,,58
59,,,Leeds Metropolitan University,28686,0,0,869,0,29555,,13751,7440,5025,3764,1029,0,2886,33895,,59
60,,,The University of Leeds,61440,2,398,22977,73,84890,,43280,10007,15776,7110,4725,3825,5503,90226,,60
61,,,The University of Leicester,36489,0,0,13917,631,51037,,12273,4336,6364,3526,3584,2237,1065,33385,,61
62,,,The University of Lincoln,16987,389,0,275,551,18202,,3467,2704,4570,1697,751,0,0,13189,,62
63,,,Liverpool Hope,7314,0,0,0,674,7988,,941,1153,3135,1442,998,17,444,8130,,63
64,,,Liverpool John Moores University,29298,142,549,1089,1386,32464,,8234,4529,7410,3271,914,485,3045,27888,,64
65,,,The University of Liverpool,45505,314,1100,3416,2148,52483,,16620,5169,8090,6039,4042,19930,6474,66364,,65
66,,,London Business School,12236,0,0,2865,0,15101,,0,6921,3848,1474,233,0,68,12544,,66
67,,,University of London (Institutes and activities)(#3),6103,1676,143,1016,0,8938,,1943,6144,10486,2013,2229,438,9145,32398,,67
68,,,London Guildhall University,17578,380,412,251,191,18812,,2377,4040,5301,1546,0,0,859,14123,,68
69,,,The London Institute,23341,0,0,0,0,23341,,16724,4221,5407,3706,905,467,705,32135,,69
70,,,London South Bank University(#2),32618,571,5882,1558,0,40629,,6121,3448,5171,1308,806,740,427,18021,,70
71,,,London School of Economics and Political Science,26712,0,0,5803,0,32515,,3529,4388,8208,1949,2584,2112,1324,24094,,71
72,,,London School of Hygiene & Tropical Medicine,5743,96,0,10663,482,16984,,2426,1372,1679,418,166,2490,421,8972,,72
73,,,Loughborough University,26830,44,347,9547,52,36820,,10652,3771,5656,3683,6073,708,3706,34249,,73
74,,,University of Luton,15697,612,1276,664,0,18249,,2583,2499,3540,1056,717,41,0,10436,,74
75,,,University of Manchester,73701,864,736,31416,2211,108928,,19618,12294,13782,8047,6423,6753,5988,72905,,75
76,,,The University of Manchester Institute of Science & Technology,22081,0,283,7975,425,30764,,13219,3398,6035,2834,2917,564,3448,32415,,76
77,,,The Manchester Metropolitan University,43594,464,1739,2253,1402,49452,,10760,5841,6199,5466,3135,1074,901,33376,,77
