2,,Total England,,237714,55349,198929,47436,539428,0,227908,61052,184978,23382,497320,0,118078,35466,112409,3959,269912,,55507,22448,80217,5229,163401,,61180,13792,56678,1669,133319,,26221,10891,45067,1853,84032,,10489,5021,11472,598,27580,,737097,204019,689750,84126,1714992,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,De Montfort University,786,70,734,0,1590,,248,38,278,0,564,,996,299,776,0,2071,,145,27,507,0,679,,121,42,300,0,463,,478,24,325,0,827,,173,77,462,0,712,,2947,577,3382,0,6906,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,University of Derby,88,0,54,0,142,,0,1,29,0,30,,117,1,105,0,223,,123,2,130,0,255,,4,25,11,0,40,,28,0,60,0,88,,1,28,39,0,68,,361,57,428,0,846,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,University of Durham,4176,543,2310,2005,9034,,1593,73,626,25,2317,,2585,505,4737,218,8045,,420,66,425,0,911,,451,19,296,0,766,,359,46,372,484,1261,,1,0,4,0,5,,9585,1252,8770,2732,22339,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,The University of East Anglia,3669,478,2072,1096,7315,,2467,59,1036,289,3851,,1919,235,1627,211,3992,,334,57,490,30,911,,1188,30,397,45,1660,,199,72,289,11,571,,136,1,74,6,217,,9912,932,5985,1688,18517,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,The University of East London,-1,102,49,0,150,,51,149,70,0,270,,0,0,0,0,0,,0,0,0,0,0,,0,30,10,0,40,,0,0,0,0,0,,179,454,262,0,895,,229,735,391,0,1355,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,Edge Hill College of Higher Education,0,10,9,0,19,,0,4,1,0,5,,0,116,201,0,317,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,130,211,0,341,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,The University of Essex,2170,342,2449,46,5007,,600,49,230,159,1038,,505,16,324,0,845,,383,10,224,0,617,,582,15,330,0,927,,92,0,101,0,193,,12,0,27,0,39,,4344,432,3685,205,8666,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,The University of Exeter,2019,269,1523,442,4253,,1333,149,978,0,2460,,947,210,1181,9,2347,,223,5,311,618,1157,,340,1,188,0,529,,12,6,33,0,51,,15,1,7,0,23,,4889,641,4221,1069,10820,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,Falmouth College of Arts,32,0,0,0,32,,0,3,0,0,3,,0,0,0,0,0,,0,1,0,0,1,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,32,4,0,0,36,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,University of Gloucestershire,162,4,14,15,195,,37,24,33,6,100,,36,246,180,12,474,,0,11,13,0,24,,7,88,100,3,198,,0,0,6,0,6,,83,30,97,10,220,,325,403,443,46,1217,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,Goldsmiths College,261,2,168,5,436,,393,22,110,0,525,,413,24,70,0,507,,3,0,1,0,4,,47,0,15,0,62,,29,0,10,0,39,,93,2,32,0,127,,1239,50,406,5,1700,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,The University of Greenwich,502,72,622,0,1196,,85,0,70,0,155,,1822,274,3186,0,5282,,131,11,135,0,277,,283,20,998,0,1301,,45,0,40,0,85,,165,339,394,0,898,,3033,716,5445,0,9194,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,Harper Adams University College,0,0,0,0,0,,0,0,27,0,27,,0,29,36,0,65,,0,114,137,0,251,,0,8,13,0,21,,0,0,0,0,0,,0,0,0,0,0,,0,151,213,0,364,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,University of Hertfordshire,599,5,180,0,784,,219,2,41,0,262,,517,46,228,0,791,,150,25,84,0,259,,95,8,438,0,541,,68,0,62,0,130,,68,0,60,0,128,,1716,86,1093,0,2895,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,Homerton College(#4),0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,The University of Huddersfield,179,25,163,48,415,,157,0,61,2,220,,128,20,285,27,460,,79,20,66,6,171,,49,2,43,3,97,,0,0,16,0,16,,317,65,246,2,630,,909,132,880,88,2009,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
