2,,Total England,,237714,55349,198929,47436,539428,0,227908,61052,184978,23382,497320,0,118078,35466,112409,3959,269912,,55507,22448,80217,5229,163401,,61180,13792,56678,1669,133319,,26221,10891,45067,1853,84032,,10489,5021,11472,598,27580,,737097,204019,689750,84126,1714992,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,St George's Hospital Medical School,825,212,765,23,1825,,5243,1156,2359,165,8923,,1084,428,445,7,1964,,881,194,826,25,1926,,348,272,162,0,782,,383,214,378,36,1011,,89,68,9,14,180,,8853,2544,4944,270,16611,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,College of St Mark and St John,0,0,0,0,0,,3,0,0,0,3,,80,2,45,0,127,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,83,2,45,0,130,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,St Martin's College,0,0,0,0,0,,0,30,46,0,76,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,30,46,0,76,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,St Mary's College,0,0,0,0,0,,30,11,8,0,49,,11,0,18,0,29,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,41,11,26,0,78,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,The University of Salford,618,483,709,151,1961,,46,22,201,12,281,,189,163,916,81,1349,,92,31,151,30,304,,472,123,640,97,1332,,83,41,52,7,183,,0,0,0,0,0,,1500,863,2669,378,5410,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,The School of Oriental and African Studies,105,107,529,0,741,,369,36,110,0,515,,19,46,16,0,81,,0,0,0,0,0,,0,0,0,0,0,,211,45,332,0,588,,198,34,110,0,342,,902,268,1097,0,2267,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,The School of Pharmacy,210,0,224,40,474,,394,30,364,0,788,,101,0,120,20,241,,268,0,425,63,756,,155,19,144,28,346,,44,0,28,7,79,,0,7,42,4,53,,1172,56,1347,162,2737,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,Sheffield Hallam University,299,65,207,0,571,,128,4,147,2,281,,836,118,1509,0,2463,,270,65,252,0,587,,451,166,1273,0,1890,,18,4,19,0,41,,172,45,185,0,402,,2174,467,3592,2,6235,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,The University of Sheffield,8471,904,6599,1989,17963,,5514,1159,4982,694,12349,,4206,1194,3387,359,9146,,2074,502,2606,139,5321,,2215,320,1477,120,4132,,861,508,1141,44,2554,,304,177,259,0,740,,23645,4764,20451,3345,52205,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,Southampton Institute,0,7,1,0,8,,0,0,0,0,0,,11,4,14,0,29,,12,31,14,0,57,,38,68,70,0,176,,0,0,0,0,0,,0,0,0,0,0,,61,110,99,0,270,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,The University of Southampton,9664,2868,11191,2973,26696,,4893,1195,3143,473,9704,,3567,1347,2609,17,7540,,2471,1190,3304,98,7063,,2817,421,2291,35,5564,,737,290,1564,67,2658,,117,91,124,0,332,,24266,7402,24226,3663,59557,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,Staffordshire University,45,6,19,0,70,,39,14,47,0,100,,90,12,82,0,184,,52,17,-4,0,65,,316,334,928,0,1578,,117,123,341,0,581,,55,57,159,0,271,,714,563,1572,0,2849,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,The University of Sunderland,73,4,174,4,255,,118,12,148,27,305,,355,38,446,207,1046,,84,18,138,4,244,,261,104,786,7,1158,,0,0,89,0,89,,5,4,16,0,25,,896,180,1797,249,3122,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,"The Surrey Institute of Art and Design, University College",0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,The University of Surrey,3041,55,3218,652,6966,,303,0,261,5,569,,470,209,795,14,1488,,853,113,789,252,2007,,1949,59,1613,20,3641,,335,431,1012,42,1820,,58,0,48,6,112,,7009,867,7736,991,16603,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,The University of Sussex,4056,490,2293,1023,7862,,1898,133,1179,500,3710,,411,11,696,0,1118,,379,49,532,26,986,,1074,28,1042,9,2153,,164,22,447,13,646,,268,29,0,0,297,,8250,762,6189,1571,16772,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,The University of Teesside,88,22,34,0,144,,54,2,30,0,86,,461,81,140,10,692,,40,0,17,2,59,,36,0,6,13,55,,0,0,0,0,0,,10,0,28,3,41,,689,105,255,28,1077,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,Thames Valley University,0,0,0,0,0,,2,0,0,0,2,,335,0,0,0,335,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,337,0,0,0,337,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,Trinity And All Saints College,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,Trinity College of Music,0,0,0,0,0,,61,0,41,0,102,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,61,0,41,0,102,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,University College London,19244,4353,11358,2184,37139,,34895,6011,22272,3410,66588,,5237,718,3347,31,9333,,2501,740,3843,156,7240,,4275,262,2545,67,7149,,2287,444,2679,18,5428,,404,55,43,142,644,,68843,12583,46087,6008,133521,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,The University of Warwick,4752,685,2853,853,9143,,1902,86,1601,38,3627,,3308,220,1567,4,5099,,985,138,805,228,2156,,1281,62,761,63,2167,,249,27,383,5,664,,91,47,104,2,244,,12568,1265,8074,1193,23100,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,"University of the West of England, Bristol",417,89,174,0,680,,168,14,117,0,299,,560,23,642,0,1225,,300,32,241,0,573,,127,41,284,0,452,,10,0,72,0,82,,59,47,3,0,109,,1641,246,1533,0,3420,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,The University of Westminster,194,0,179,0,373,,274,0,130,0,404,,692,0,1021,0,1713,,202,0,244,0,446,,382,0,327,0,709,,4,0,12,0,16,,0,0,0,0,0,,1748,0,1913,0,3661,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,Wimbledon School of Art,0,26,0,0,26,,0,10,0,0,10,,0,0,0,0,0,,0,0,0,0,0,,0,0,11,0,11,,0,0,0,0,0,,0,0,0,0,0,,0,36,11,0,47,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,The University of Wolverhampton,153,130,138,0,421,,22,3,40,0,65,,136,8,224,0,368,,46,8,112,0,166,,65,108,209,352,734,,14,5,9,0,28,,163,172,336,0,671,,599,434,1068,352,2453,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,University College Worcester,0,0,0,0,0,,14,43,35,7,99,,239,189,364,16,808,,2,30,11,6,49,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,255,262,410,29,956,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,Writtle College,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,74,0,74,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,74,0,74,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,York St John College,0,0,0,0,0,,14,0,0,0,14,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,14,0,0,0,14,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,The University of York,5107,0,2378,0,7485,,3217,0,1845,430,5492,,4007,0,1906,18,5931,,1145,0,589,159,1893,,1102,0,539,15,1656,,281,0,271,0,552,,7,0,1,0,8,,14866,0,7529,622,23017,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,Total Wales,,10415,1499,8030,1801,21745,0,6509,1073,5510,170,13262,0,8112,2852,9852,348,21164,,2481,673,4144,208,7506,,2864,1232,3575,163,7834,,710,119,1035,14,1878,,2120,263,6760,7,9150,,33211,7711,38906,2711,82539,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,"University of Wales, Aberystwyth",1334,572,1251,932,4089,,275,118,523,8,924,,511,509,659,48,1727,,215,92,703,73,1083,,261,112,395,36,804,,42,18,27,0,87,,13,6,59,0,78,,2651,1427,3617,1097,8792,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,"University of Wales, Bangor",1343,211,899,173,2626,,302,109,317,45,773,,1073,211,978,12,2274,,181,9,286,11,487,,604,119,322,19,1064,,22,4,35,0,61,,702,10,110,0,822,,4227,673,2947,260,8107,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,Cardiff University,4520,344,3539,0,8403,,2726,290,1903,0,4919,,3617,288,4857,0,8762,,1141,56,2046,0,3243,,817,83,621,0,1521,,304,18,650,0,972,,586,117,5477,0,6180,,13711,1196,19093,0,34000,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,"University of Wales Institute, Cardiff",0,0,0,0,0,,0,0,20,0,20,,84,613,98,0,795,,0,0,0,0,0,,0,0,0,0,0,,15,1,10,0,26,,0,0,0,0,0,,99,614,128,0,841,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,University of Glamorgan,178,6,220,0,404,,139,17,101,0,257,,1105,667,1165,0,2937,,45,0,77,0,122,,495,640,1558,0,2693,,0,0,7,0,7,,677,63,536,0,1276,,2639,1393,3664,0,7696,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,"The University of Wales, Lampeter",77,2,14,0,93,,16,5,31,0,52,,68,9,15,0,92,,3,5,-5,0,3,,0,0,0,0,0,,0,0,1,0,1,,0,0,0,0,0,,164,21,56,0,241,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,University of Wales College of Medicine,747,185,837,89,1858,,2806,492,2271,115,5684,,759,366,1238,15,2378,,450,306,446,2,1204,,317,156,392,53,918,,201,52,195,0,448,,88,65,564,7,724,,5368,1622,5943,281,13214,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,"University of Wales College, Newport",51,0,43,0,94,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,51,0,43,0,94,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,The North-East Wales Institute of Higher Education,15,43,43,1,102,,61,29,4,2,96,,13,31,30,0,74,,0,30,52,0,82,,2,14,13,5,34,,20,15,40,3,78,,0,0,0,0,0,,111,162,182,11,466,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,"University of Wales, Registry",138,0,8,0,146,,28,0,6,0,34,,0,0,6,0,6,,5,0,0,0,5,,0,0,0,0,0,,0,0,2,0,2,,0,0,0,0,0,,171,0,22,0,193,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,Royal Welsh College of Music and Drama(#2),0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,Swansea Institute of Higher Education,0,0,0,0,0,,0,0,0,0,0,,0,0,7,0,7,,0,11,1,0,12,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,11,8,0,19,,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,"University of Wales, Swansea",2012,136,1176,606,3930,,156,13,334,0,503,,882,158,799,273,2112,,441,164,538,122,1265,,368,108,274,50,800,,106,11,68,11,196,,54,2,14,0,70,,4019,592,3203,1062,8876,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,"Trinity College, Carmarthen",0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,Total Scotland,,34439,8651,33584,6082,82756,0,36528,8650,32563,4408,82149,0,20394,9225,24351,2329,56299,,7342,3203,14008,637,25190,,8176,2696,8820,504,20196,,4064,1545,3678,83,9370,,2486,1345,2618,368,6817,,113429,35315,119622,14411,282777,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,The University of Aberdeen,2863,453,2265,552,6133,,4634,556,2941,336,8467,,4300,910,2832,209,8251,,1209,144,1734,46,3133,,1181,191,1205,3,2580,,351,200,637,0,1188,,171,100,515,4,790,,14709,2554,12129,1150,30542,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,University of Abertay Dundee,0,77,85,0,162,,1,60,42,0,103,,105,242,202,0,549,,0,30,54,0,84,,74,172,-195,66,117,,0,16,25,0,41,,66,162,107,0,335,,246,759,320,66,1391,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,Bell College(#1),0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,The University of Dundee,3173,612,3060,487,7332,,7467,932,6899,1397,16695,,1926,540,1390,106,3962,,949,385,1602,171,3107,,956,219,862,68,2105,,695,429,355,23,1502,,41,0,24,0,65,,15207,3117,14192,2252,34768,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,Edinburgh College of Art,3,15,16,0,34,,5,21,22,0,48,,59,264,287,0,610,,0,0,0,0,0,,3,12,13,0,28,,0,0,0,0,0,,3,14,16,0,33,,73,326,354,0,753,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,The University of Edinburgh,11160,2842,7813,2113,23928,,10693,2471,10473,1038,24675,,4642,2378,8830,892,16742,,1585,340,2573,120,4618,,2430,460,1626,0,4516,,995,229,848,7,2079,,746,234,466,17,1463,,32251,8954,32629,4187,78021,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,Glasgow Caledonian University,28,280,376,0,684,,31,97,97,0,225,,595,1077,848,0,2520,,20,151,231,0,402,,9,47,83,0,139,,0,16,29,0,45,,0,3,0,0,3,,683,1671,1664,0,4018,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,Glasgow School of Art,0,0,157,0,157,,0,0,16,0,16,,0,0,37,0,37,,0,0,326,0,326,,0,0,37,0,37,,0,0,133,0,133,,0,0,47,0,47,,0,0,753,0,753,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,The University of Glasgow,9270,1641,8850,1635,21396,,11864,3341,9748,1232,26185,,3956,794,2737,115,7602,,1652,183,2031,57,3923,,1548,147,1000,29,2724,,1594,452,812,19,2877,,817,250,713,54,1834,,30701,6808,25891,3141,66541,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
